location,totaltweets,retweetcount,hashtags,date,Clean Text,Sentiment
"Copenhagen, Denmark",542,9,"['dkgreen', 'dkpol', 'transport', 'kompoldk']",2021-08-19 08:29:43,i  ønsker vi grøn mobilitet i hele landet  derfor mener vi at  også skal sikre mulighed for opstilling af ladestandere i yderområder  hvor markedet ikke er rentabelt endnu       ,5.0
Denmark 🇩🇰,149618,3,['dkpol'],2021-08-19 08:29:40,skal eu spille en større rolle og udfylde magttomrummet efter usa  som ellers udfyldes af kina og rusland  eller skal vi lade verdens undertrykte sejle deres egen sø med dertil følgende ustabilitet og flytningestrømme  ,-2.0
Aarhus,3717,0,"['dkpol', 'dkbiz', 'finansdk']",2021-08-19 08:29:38,brancheorganisation    efter nej til afdragsplan for coronalån  »gældskrisen er kun lige begyndt«   $     ,-1.0
,104868,5,"['metoo', 'dkpol']",2021-08-19 08:28:46,tak til de modige kvinder  der er stået frem      ,4.0
Denmark 🇩🇰,149618,3,"['rekrutteringsplan', 'dkpol', 'kompoldk']",2021-08-19 08:27:57,rekrutteringskrise  pædagogmanglen i storkøbenhavn er endnu værre end først antaget     nye pædagoger til      flere børn siden       to fede streger under behovet for en national     ,-3.0
"Copenhagen, Denmark",668,0,"['sundpol', 'dkpol']",2021-08-19 08:27:23,vi har styrken til at være foregangsland  når det gælder sundhedsforskning og udvikling af nye behandlinger  til glæde for patienterne  vi har kompetencerne  så lad os gribe mulighederne     ,4.0
,1842,0,"['Langeland', 'dkpol', 'dkmedier']",2021-08-19 08:27:18,mon  vil foreslå med et kæmpe ja på store skilte over hele øen og i københavn  til at tolke og andre afghanere  der har arbejdet for danmark i afghanistan kan få et godt og trygt ophold på center holmegaard    ,5.0
"Lemvig, Danmark",9713,4,"['dkgreen', 'dkpol']",2021-08-19 08:27:10,hvis nogen står og mangler opskriften på klimakrisen  så er den her    ,-2.0
Holbæk,2937,0,"['dkpol', 'dkbyg', 'dkbizz']",2021-08-19 08:27:03,stolt af den boligudvikling  der er igang i holbæk kommune     ,2.0
,5179,3,"['stopdet', 'dkpol', 'dkmedier', 'sundpol', 'Covid19dk', 'coronadk', 'COVID19']",2021-08-19 08:26:24,vigtigt indlæg fra geert vanden bossche om coronahåndteringen og specielt vaccinestrategien         ,0.0
Verden,4195,6,"['dkpol', 'trygfødsel']",2021-08-19 08:26:05,   ledige jordemoderstillinger i  det sætter de fødende kvinder i hovedstaden i en virkelig utryg situation  det bliver nok desværre et langt sejt træk  siger  i p  københavn  ødsel ,-2.0
Danmark,31319,18,['dkpol'],2021-08-19 08:26:03,  vil sammen med regeringen  sf og r give mulighed for  at op til fire forældre kan dele forældreorloven  det er vigtigt for regnbuefamilier  og et skridt på vejen mod fuld juridisk anerkendelse af  at man kan have mere end kun to forældre # ,4.0
Verden,4195,2,"['dkpol', 'dksocial']",2021-08-19 08:25:52,alt udsolgt til vores konference om hvordan vi bedst hjælper voldsudøvere til at slippe volden  med du kan stadig deltage digitalt             og   er med   læs mere     ,2.0
Copenhagen,12322,0,"['dkpol', 'covid19dk', 'vacciner', 'israelkoyak']",2021-08-19 08:25:14,der har været en del fokus på israel på det seneste  fordi indlæggelsestallene stiger hurtigt   men alt tyder altså fortsat på  at vaccinerne er meget effektive mod alvorlig sygdom  læs med her        ping ,0.0
Earth,222148,7,"['dkpol', 'dkgreen']",2021-08-19 08:24:17,    mio pattegrise døde i den danske svineindustri i       inden de blev en måned gamle  det er måske det allermest håndgribelige symbol på en syg industri  hvad er dit svar      ,-5.0
Danmark,48175,5,"['metoo', 'dkpol']",2021-08-19 08:23:12,tak til de modige kvinder  der er stået frem      ,4.0
"Fredericia, Danmark",2345,0,['dkpol'],2021-08-19 08:23:11,  hvordan skal man kunne få råd til at give en hånd med til grøn omstilling  når     mio borger er ramt af ydelsesregulering  sammensat marginalskat     gensidig forsørgerpligt  modregningsordning for folk der har samliv men straffes økonomisk fordi ens partner arb   ,-3.0
,4736,2,"['erhvervsuddannelser', 'uddpol', 'STEM']",2021-08-19 08:23:03,vi har brug for at gøre  mere attraktive    læs hele debatindlægget fra vores direktør christine   claus jensen fra  og andré rogaczewski fra           dkpol  ,0.0
,91312,0,['dkpol'],2021-08-19 08:22:58,mediedækningen af afghanistan fortjener et eftersyn  interessant artikel   ,2.0
,148737,0,['dkpol'],2021-08-19 08:22:41,kan ikke siges bedre     … det med krydset er jo et åbent spm ,2.0
Danmark,1737,1,"['km21', 'culturematters', 'dkpol']",2021-08-19 08:22:26,hvilken rolle spiller kommunerne i genåbningen af kulturlivet  og hvorfor er det helt afgørende at få genstartet kulturlivet  kl  branche og kulturledere i debat på  kl     med bl a         ,1.0
