,location,totaltweets,retweetcount,hashtags,date,Clean Text,Sentiment
46,Roskilde,4325,1,"['dkpol', 'covid19dk']",2021-08-12 14:43:30,og selvfølgelig er cepos med på den vogn  her bestyrelsesmedlem christian bjørnskov  skammeligt     ,0.0
47,Aarhus,65449,1,"['dkpol', 'covid19dk']",2021-08-12 13:59:18,og selvfølgelig er cepos med på den vogn  her bestyrelsesmedlem christian bjørnskov  skammeligt     ,0.0
48,Aarhus,65449,0,"['dkpol', 'COVID19dk']",2021-08-12 13:57:09,dybt uansvarligt og nærmest kriminel timing  situationen i florida og texas taget i betragtning  hvordan kan denne mand dog være en amerikansk senator    ,-2.0
49,"Copenhagen, Denmark",107,1,"['BeskytBørneneModCovid19', 'SikreSkoler', 'CovidErLuftbåren', 'dkpol', 'COVID19']",2021-08-12 13:21:52,covid   smitter særlig meget ved sang indendørs ørnenemodcovid    åren         ,-2.0
50,,686,0,"['dkpol', 'Covid19dk']",2021-08-12 11:55:08,  det var da godt nok pudsigt  når befolkningen bliver tvunget til at bruge den     ,2.0
51,"København, Hovedstaden",1175,1,"['dkpol', 'covid19dk', 'dkmedier']",2021-08-12 08:39:26,presset på regeringen stiger  viser en rundspørge som indblik har foretaget  se her  hvilke partier  der er med på at sløjfe coronarestriktionerne fuldstændigt      ,-2.0
52,Copenhagen,310,1,"['dkpol', 'covid19dk', 'dkmedier']",2021-08-12 08:39:03,presset på regeringen stiger  viser en rundspørge som indblik har foretaget  se her  hvilke partier  der er med på at sløjfe coronarestriktionerne fuldstændigt      ,-2.0
53,Aarhus,65449,0,"['dkpol', 'covid19dk']",2021-08-12 06:15:55, måske ikke lige den mest troværdige person denne thomas teglgård    ,0.0
54,,94,0,"['sundhedforalle', 'dkpol', 'covid19dk']",2021-08-11 19:14:05,anastasia loupis taler på råshuspladsen  vaccinationsforsøg uden informeret samtykke     ,2.0
55,"København, Danmark",21567,0,"['dkpol', 'COVID19dk']",2021-08-11 19:13:41,ja så mangler vi bare at fjerne mundbind i den offentlige transport  så er vi ved at være der  ,-1.0
56,Aarhus,686,0,"['dkpol', 'COVID19dk']",2021-08-11 19:13:16, tsk tsk  der er ingen der giver en døjt for restriktioner  befolkningen er videre  regeringen skal finde tilbage til virkeligheden   ,0.0
57,,3543,3,"['dkpol', 'covid19dk', 'dkmedier']",2021-08-11 18:26:14,hvis det stod til liberal alliances partileder alex vanopslagh  ville alle coronarestriktioner være væk i morgen  det fortæller han i et interview med indblik      ,0.0
58,EDEN,6455,6,"['dkpol', 'covid19dk', 'dkmedier']",2021-08-11 16:23:47,stærk udmelding fra        ,2.0
59,"Frederiksberg, Denmark",44893,0,"['Delta', 'dkpol', 'COVID19']",2021-08-11 12:33:10,pandemien er ikke overstået   er her stadig  så husk det  situationen er ikke ligesom sidste år  selvom du er vaccineret  så skal du stadig tænke dig om  et stik er ikke nok  du skal ha to   og selvom du har fået dem  så tænk dig om    ,2.0
60,Danmark,6911,6,"['dkpol', 'covid19dk', 'dkmedier']",2021-08-11 08:16:54,stærk udmelding fra        ,2.0
61,Pressetelefon: 61 62 49 49,7397,3,"['dkpol', 'covid19dk', 'dkmedier']",2021-08-11 08:06:06,hvis det stod til liberal alliances partileder alex vanopslagh  ville alle coronarestriktioner være væk i morgen  det fortæller han i et interview med indblik      ,0.0
62,Danmark,31298,6,"['dkpol', 'covid19dk', 'dkmedier']",2021-08-11 07:59:33,stærk udmelding fra        ,2.0
63,#eUSSR-vassalstate denmark,48495,6,"['dkpol', 'covid19dk', 'dkmedier']",2021-08-11 07:22:23,stærk udmelding fra        ,2.0
64,"København, Hovedstaden",1175,6,"['dkpol', 'covid19dk', 'dkmedier']",2021-08-11 07:19:23,stærk udmelding fra        ,2.0
65,Copenhagen,310,3,"['dkpol', 'covid19dk', 'dkmedier']",2021-08-11 07:18:28,hvis det stod til liberal alliances partileder alex vanopslagh  ville alle coronarestriktioner være væk i morgen  det fortæller han i et interview med indblik      ,0.0
66,,1065,0,"['dkpol', 'COVID19dk']",2021-08-11 07:07:55,sagde manden lige    af alle over    år skal være vaccineret før end hr   er tilfreds   hvilket argument ligger dog til grund for lige netop det tal   lyder mere som er politisk mål  fremfor et sundhedsfagligt logisk mål      ,2.0
67,Earth,43871,0,"['dkpol', 'COVID19']",2021-08-11 07:00:50,til alle jer præster  hvad skete der  gik luther himself ikke op md overmagten  hvorfor lader i nogle latterlige politikkere på christiansborg knægte jeres sognebørn på denne usle vis  hold dog for pokker de konfirmationer    ,-5.0
68,,7169,3,"['Sandhed', 'dkpol', 'COVID19dk', 'coronavirus', 'CORONAUPDATE']",2021-08-11 06:04:35,sådan   forklaret på   minutter       ,0.0
69,Danmark,2688,3,"['Sandhed', 'dkpol', 'COVID19dk', 'coronavirus', 'CORONAUPDATE']",2021-08-11 05:46:15,sådan   forklaret på   minutter       ,0.0
70,,466,3,"['Sandhed', 'dkpol', 'COVID19dk', 'coronavirus', 'CORONAUPDATE']",2021-08-11 05:26:13,sådan   forklaret på   minutter       ,0.0
